TCOA_Company,TCOA_Cabang,TCOA_Jenis_transaksi,TCOA_Traksaksi_Debit,TCOA_Transaksi_Credit,TCOA_Mutasi_Debit,TCOA_Mutasi_Credit,TCOA_CreateDate,TCOA_CreateUser,TCOA_CreateTIme,TCOA_ModifyUser,TCOA_ModifyDate,TCOA_ModifyTime
01,05,226,250000004,706000000,C02,B06,NULL,NULL,NULL,NULL,NULL,NULL
01,05,226,830000000,210200000,H01,B07,NULL,NULL,NULL,NULL,NULL,NULL
01,05,250,210100000,100310000,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,251,210300000,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,252,210300001,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,253,210300002,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,254,210300003,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,255,210300004,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,256,210300005,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,257,210300006,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,258,210300007,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,259,210300008,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,260,210300009,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,261,210300010,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,262,210300011,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,263,210300012,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,264,210300013,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,265,210300014,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,266,210300015,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,267,210300016,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,268,210300017,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,269,210300018,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,270,210300019,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,271,210300020,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,272,210300021,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,273,210300022,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,274,210300023,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,275,210300024,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,276,210300025,100310014,F02,F02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,300,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,300,110200000,300200000,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,300,300400000,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,300,400200000,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,301,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,301,110100000,300100000,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,301,300300000,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,301,400100000,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,302,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,302,110100001,300100001,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,302,300300001,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,302,400100001,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,303,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,303,110100002,300100002,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,303,300300002,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,303,400100002,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,304,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,304,110100003,300100003,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,304,300300003,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,304,400100003,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,305,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,305,110100004,300100004,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,305,300300004,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,305,400100004,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,306,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,306,110100005,300100005,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,306,300300005,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,306,400100005,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,307,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,307,110100006,300100006,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,307,300300006,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,307,400100006,130100000,A01,A01,NULL,NULL,NULL,NULL,NULL,NULL
01,05,308,,300250000,,A04,NULL,NULL,NULL,NULL,NULL,NULL
01,05,308,110100007,300100007,D02,A02,NULL,NULL,NULL,NULL,NULL,NULL
01,05,308,300300007,250000004,B01,C01,NULL,NULL,NULL,NULL,NULL,NULL
